ST,State,County State,County,CoC Number,FIPS ID
AL,Alabama,"Autauga County, Alabama",Autauga,AL-504,1001
AL,Alabama,"Baldwin County, Alabama",Baldwin,AL-501,1003
AL,Alabama,"Barbour County, Alabama",Barbour,AL-507,1005
AL,Alabama,"Bibb County, Alabama",Bibb,AL-507,1007
AL,Alabama,"Blount County, Alabama",Blount,AL-507,1009
AL,Alabama,"Bullock County, Alabama",Bullock,AL-504,1011
AL,Alabama,"Butler County, Alabama",Butler,AL-507,1013
AL,Alabama,"Calhoun County, Alabama",Calhoun,AL-505,1015
AL,Alabama,"Chambers County, Alabama",Chambers,AL-507,1017
AL,Alabama,"Cherokee County, Alabama",Cherokee,AL-505,1019
AL,Alabama,"Chilton County, Alabama",Chilton,AL-507,1021
AL,Alabama,"Choctaw County, Alabama",Choctaw,AL-507,1023
AL,Alabama,"Clarke County, Alabama",Clarke,AL-507,1025
AL,Alabama,"Clay County, Alabama",Clay,AL-507,1027
AL,Alabama,"Cleburne County, Alabama",Cleburne,AL-507,1029
AL,Alabama,"Coffee County, Alabama",Coffee,AL-507,1031
AL,Alabama,"Colbert County, Alabama",Colbert,AL-502,1033
AL,Alabama,"Conecuh County, Alabama",Conecuh,AL-507,1035
AL,Alabama,"Coosa County, Alabama",Coosa,AL-507,1037
AL,Alabama,"Covington County, Alabama",Covington,AL-507,1039
AL,Alabama,"Crenshaw County, Alabama",Crenshaw,AL-507,1041
AL,Alabama,"Cullman County, Alabama",Cullman,AL-507,1043
AL,Alabama,"Dale County, Alabama",Dale,AL-507,1045
AL,Alabama,"Dallas County, Alabama",Dallas,AL-507,1047
AL,Alabama,"DeKalb County, Alabama",DeKalb,AL-505,1049
AL,Alabama,"Elmore County, Alabama",Elmore,AL-504,1051
AL,Alabama,"Escambia County, Alabama",Escambia,AL-507,1053
AL,Alabama,"Etowah County, Alabama",Etowah,AL-505,1055
AL,Alabama,"Fayette County, Alabama",Fayette,AL-507,1057
